#OTU ID	SRR8534033_V4	SRR8534034_V4	SRR8534035_V4	SRR8534036_V4	SRR8534037_V4	SRR8534038_V4	SRR8534039_V4	SRR8534040_V4	SRR8534041_V4	SRR8534042_V4	SRR8534043_V4	SRR8534044_V4	SRR8534045_V4	SRR8534046_V4	SRR8534047_V4	SRR8534048_V4	SRR8534049_V4	SRR8534050_V4	SRR8534051_V4	SRR8534052_V4	SRR8534053_V4	SRR8534054_V4	SRR8534055_V4	SRR8534056_V4	SRR8534057_V4	SRR8534058_V4	SRR8534059_V4	SRR8534060_V4	SRR8534061_V4	SRR8534062_V4	SRR8534063_V4	SRR8534064_V4	SRR8534065_V4	SRR8534066_V4	SRR8534067_V4	SRR8534068_V4	SRR8534069_V4	SRR8534070_V4	SRR8534071_V4	SRR8534072_V4	SRR8534073_V4	SRR8534074_V4	SRR8534075_V4	SRR8534076_V4	SRR8534077_V4	SRR8534079_V4	SRR8534080_V4	SRR8534081_V4	SRR8534082_V4	SRR8534083_V4	SRR8534084_V4	SRR8534085_V4	SRR8534086_V4	SRR8534087_V4	SRR8534088_V4	SRR8534089_V4	SRR8534090_V4	SRR8534091_V4	SRR8534092_V4	SRR8534093_V4	SRR8534094_V4	SRR8534095_V4	SRR8534096_V4	SRR8534097_V4	SRR8534098_V4	SRR8534099_V4	SRR8534100_V4	SRR8534101_V4	SRR8534102_V4	SRR8534103_V4	SRR8534104_V4	SRR8534105_V4	SRR8534106_V4	SRR8534107_V4	SRR8534108_V4	SRR8534109_V4	SRR8534110_V4	SRR8534111_V4	SRR8534112_V4	SRR8534113_V4	SRR8534114_V4	SRR8534115_V4	SRR8534116_V4	SRR8534117_V4	SRR8534118_V4	SRR8534119_V4	SRR8534120_V4	SRR8534121_V4	SRR8534122_V4	SRR8534123_V4	SRR8534124_V4	SRR8534125_V4	SRR8534126_V4	SRR8534127_V4	SRR8534128_V4	SRR8534131_V4	SRR8534133_V4	SRR8534135_V4	SRR8534136_V4	SRR8534137_V4	SRR8534138_V4	SRR8534139_V4	SRR8534140_V4	SRR8534141_V4	SRR8534142_V4	SRR8534143_V4	SRR8534144_V4	SRR8534145_V4	SRR8534146_V4	SRR8534147_V4	SRR8534148_V4	SRR8534149_V4	SRR8534151_V4	SRR8534152_V4	SRR8534153_V4	SRR8534154_V4	SRR8534155_V4	SRR8534156_V4	SRR8534157_V4	SRR8534158_V4	SRR8534159_V4	SRR8534160_V4	SRR8534161_V4	SRR8534162_V4	SRR8534163_V4	SRR8534164_V4	SRR8534165_V4	SRR8534166_V4	SRR8534167_V4	SRR8534168_V4	SRR8534169_V4	SRR8534170_V4	SRR8534171_V4	SRR8534172_V4	SRR8534173_V4	SRR8534174_V4	SRR8534175_V4	SRR8534176_V4	SRR8534177_V4	SRR8534178_V4	SRR8534179_V4	SRR8534180_V4	SRR8534181_V4	SRR8534182_V4	SRR8534183_V4	SRR8534184_V4	SRR8534185_V4	SRR8534186_V4	SRR8534187_V4	SRR8534188_V4	SRR8534189_V4	SRR8534190_V4	SRR8534191_V4	SRR8534192_V4	SRR8534193_V4	SRR8534194_V4	SRR8534195_V4	SRR8534196_V4	SRR8534197_V4	SRR8534198_V4	SRR8534199_V4	SRR8534200_V4	SRR8534201_V4	SRR8534202_V4	SRR8534203_V4	SRR8534204_V4	SRR8534205_V4	SRR8534206_V4	SRR8534207_V4	SRR8534208_V4	SRR8534209_V4	SRR8534210_V4	SRR8534211_V4	SRR8534212_V4	SRR8534213_V4	SRR8534214_V4	SRR8534215_V4	SRR8534216_V4	SRR8534217_V4	SRR8534218_V4	SRR8534219_V4	SRR8534220_V4	SRR8534221_V4	SRR8534222_V4	SRR8534223_V4	SRR8534224_V4	SRR8534225_V4	SRR8534226_V4	SRR8534229_V4	SRR8534230_V4	SRR8534231_V4	SRR8534232_V4	SRR8534233_V4	SRR8534234_V4	SRR8534235_V4	SRR8534236_V4	SRR8534237_V4	SRR8534238_V4	SRR8534239_V4	SRR8534240_V4	SRR8534241_V4	SRR8534242_V4	SRR8534243_V4	SRR8534244_V4	SRR8534245_V4	SRR8534246_V4	SRR8534247_V4	SRR8534248_V4	SRR8534249_V4	SRR8534250_V4	SRR8534251_V4	SRR8534252_V4	SRR8534253_V4	SRR8534254_V4
Zotu1	926	38586	49718	1016	4247	1802	18732	6145	371	922	15165	10664	6891	10928	253	5413	673	4319	8228	7476	13955	5032	5281	402	1128	1408	10965	701	6713	871	5883	94	2796	338	2504	7557	15386	1615	55	1908	302	226	5832	19007	1149	8453	19185	9650	14314	6206	5838	44557	42374	6464	4	21962	345	496	20429	10749	414	234	7250	6600	30435	314	1	6601	27	17	32	630	77	5877	69	2659	1131	2463	8845	2016	6680	2470	8	7540	3123	402	2612	591	1885	1991	2077	6785	717	2808	5802	6	208	2332	3922	3542	8666	1303	724	147	2969	4769	7062	4552	7590	209	3681	443	776	30315	11	51	33147	30265	356	34	8912	3530	3224	8	200	4031	37	182	991	120	4605	3938	17294	8564	12301	47	3045	23877	14019	2258	4365	6449	17256	107	9614	16690	20624	792	5051	7370	1153	5734	12119	6718	5291	22354	5732	21310	3558	24698	17255	295	468	7048	3234	210	213	8407	132	4068	11704	8367	14908	4839	1114	12426	53	288	2199	383	12263	229	15161	9787	153	716	899	5754	591	361	440	291	136	12961	6789	8629	10579	20	8464	6139	183	9990	226	23978	24871	518	2002	8640	3501	5231	636	3026	111	12386
Zotu10	1	14	1069	236	3416	332	1645	3672	0	3	244	3777	1434	3711	277	1321	216	2289	4494	8908	3154	3317	2003	652	390	1121	2903	121	4726	33	6742	18	2257	11155	1122	1162	396	880	264	8279	923	52	832	372	300	563	461	2097	762	2328	1020	21	13	4287	0	1643	21	53	1170	3366	145	46	2727	3097	13240	2443	0	2956	27	74	70	38	37	340	3	1541	211	406	1093	1263	449	3931	192	1	1	516	2382	1	0	641	17	823	512	806	451	0	17	8	17	10	5390	4126	516	175	1250	328	2696	1684	2298	55	1858	23	23	1134	2036	8785	271	116	0	2	1403	1818	2102	20	51	1561	204	677	13	49	777	64	1405	4905	2514	83	1010	284	132	1450	8481	1532	1128	19	2642	8580	2647	274	989	497	619	3940	1136	418	12623	1088	1871	2594	307	2335	5	82	151	3137	30	57	306	2099	116	4565	995	464	5645	94	264	3334	122	805	1981	381	2703	53	892	369	71	444	313	1531	81	40	74	121	174	11	798	397	2499	6	1958	4961	6	2421	7	774	987	28	3397	2216	802	2880	145	347	163	2485
Zotu100	0	1	1	0	0	0	1	1	0	0	1	305	56	310	0	0	8	0	110	320	0	75	0	0	0	0	3	0	0	0	0	0	0	0	1	0	797	1	0	73	0	0	642	1	0	392	419	0	0	226	502	0	1	100	0	818	0	0	1239	0	0	0	5	1	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	1	3	0	0	0	0	0	1	49	39	0	1	0	1	0	1	2	921	54	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	11	0	1	0	1	0	0	0	0	92	4	0	0	0	3	514	0	0	1194	0	0	7	3	0	0	0	0	0	0	15	0	0	611	630	0	1	0	8	124	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	4	0	0	0	21	1188	0	0	0	0	1	3	0	0	0	332	0	0
Zotu1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	30	0	0	41	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1001	0	0	2	0	0	0	4	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	8	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	4	1	0	0	0	1	0	0	7	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Zotu1002	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	3	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	4	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1003	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	2	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	7	0	0	0	0	4	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Zotu1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	14	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	12	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	1	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
Zotu1005	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	37	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
